RURAL_SCORE,ZIP_CODE,COUNTY,STATE,NAME,CITY,REGION,ADDRESS
43.6,62274,Perry,IL,Hi-Standard Dog Food,,Midwest,1102 Kennedy Dr.
54,54487,Lincoln,WI,"Hometown Feed Mill, LLC",,Midwest,216 S. Tomahawk Ave.
25.3,41105,Boyd,KY,Hyland Co.,,Southeast,1830 U.S. 60 W.
8.9,80301,Boulder,CO,I and love and you,,Upper-West,"2108 55th St., Unit 100"
0.7,8831,Middlesex,NJ,IMS Pet Industries,,New York-New Jersey,965 Cranberry South River Rd.
2.4,7421,Passaic,NJ,"Innovation Concepts, Inc.",,New York-New Jersey,870 Warwick Tpke.
64.5,55041,Wabasha,MN,International Ingredients,,Midwest,36414 County Road 31
9.9,30028,Forsyth,GA,"IsoNova Technologies, LLC",,Southeast,5000 Leland Dr.
58.7,65769,Lawrence,MO,"IsoNova Technologies, LLC",,Central,18184 Highway P
14,65809,Greene,MO,"IsoNova Technologies, LLC",,Central,3801 E. Sunshine St.
0.6,90035,Los Angeles,CA,"Jarrow Formulas, Inc.",,Western,1824 1/2 S. Robertson Blvd.
63,52155,Howard,IA,"Johnson Farms, Inc.",,Central,461 Willard St.
7.9,61109,Winnebago,IL,"Jones Naturals, LLC",,Midwest,4960 28th Ave.
0.1,92663,Orange,CA,Just Food For Dogs,,Western,500 W. Coast Hwy.
35.5,21811,Worcester,MD,Kelly Foods Corp.,,Mid-Atlantic,10313 Old Ocean City Blvd.
26,5446,Chittenden,VT,Kelly's K9 Cookies,,New England,"156 Brentwood Dr., Unit 3"
58.7,65769,Lawrence,MO,Kemin Nutrisurance,,Central,519 N. 3rd St.
4.9,50309,Polk,IA,"Kemin Nutrisurance, Inc.",,Central,"600 E. Court Ave., Ste. D"
51.8,61944,Edgar,IL,"Keys Manufacturing Company, Inc.",,Midwest,13338 N. 1900th St.
13.7,99006,Spokane,WA,Kritter Kookies ,,North West,212 W. South Ave.
29.5,21740,Washington,MD,"Land O'Lakes Purina Feed, LLC",,Mid-Atlantic,11671 Hopewell Rd.
0.7,8512,Middlesex,NJ,Loving Pets Corp.,,New York-New Jersey,"110 Melrich Rd., Ste. 1"
27.6,97756,Deschutes,OR,"Majesty's Animal Products, LLC",,North West,2131 S.W. 1st St.
51,44618,Wayne,OH,"Mars Horse Care U.S., Inc.",,Midwest,330 E. Schultz St.
24.3,61938,Coles,IL,Mars Pet Care,,Midwest,6565 E. County Road 1000 N.
57.7,54660,Monroe,WI,"Mars Pet Care U. S., Inc.",,Midwest,411 Martin Ave.
47.8,43160,Fayette,OH,"Mars Pet Care U. S., Inc.",,Midwest,1 Doane Dr.
54.1,27537,Vance,NC,"Mars Pet Care U. S., Inc.",,Southeast,845 Commerce Dr.
54.5,72802,Pope,AR,"Mars Pet Care U. S., Inc.",,South Central,2902 Bernard Way
63.8,29115,Orangeburg,SC,"Mars Pet Care U. S., Inc.",,Southeast,451 Prosperity Dr.
30.3,73601,Custer,OK,"Mars Pet Care U. S., Inc.",,South Central,1 Mars Rd.
84.7,45856,Putnam,OH,"Mars Pet Care U. S., Inc.",,Midwest,3700 Route 65
9.1,29209,Richland,SC,"Mars Pet Care U. S., Inc.",,Southeast,1720 Pineview Rd.
4.3,89434,Washoe,NV,"Mars Pet Care U. S., Inc.",,Western,500 Waltham Way
3.8,64120,Jackson,MO,"Mars Pet Care U. S., Inc.",,Central,1315 N. Chouteau Traffic Way
19.4,37067,Williamson,TN,"Mars Pet Care U. S., Inc.",,Southeast,315 Cool Springs Blvd.
51.1,68818,Hamilton,NE,"Mars Pet Care U. S., Inc.",,Central,1055 W. Highway 34
20.8,72916,Sebastian,AR,"Mars Pet Care U. S., Inc.",,South Central,10000 Roberts Blvd.
1.4,43228,Franklin,OH,Mars Petcare U. S.,,Midwest,5115 Fisher Rd.
17.7,79045,Deaf Smith,TX,"Merrick Petfoods, Inc.",,South Central,110 Merrick Ln.
83.5,53968,Juneau,WI,"Merricks, Inc.",,Midwest,503 Vine St.
50.6,75455,Titus,TX,"Mid America Pet Food, LLC",,South Central,2024 N. Frontage Rd.
65.7,14892,Tioga,NY,"Midwestern Pet Foods, Inc.",,New York-New Jersey,Broad Street Ext.
9.2,47725,Vanderburgh,IN,"Midwestern Pet Foods, Inc.",,Midwest,9634 Hedden Rd.
63.9,73018,Grady,OK,"Midwestern Pet Foods, Inc.",,South Central,913 N. 9th St.
45.5,61462,Warren,IL,"Midwestern Pet Foods, Inc., Monmouth Operations",,Midwest,617 S. D St.
5.4,6001,Hartford,CT,"Miller Foods, Inc.",,New England,308 Arch Rd.
31,34480,Marion,FL,Moses Dog Food,,Southeast,4860 S.E. Maricamp Rd.
3.3,84660,Utah,UT,"Mountain Country Foods, Inc.",,Upper-West,185 E 1600 N
57.4,73763,Blaine,OK,"Mountain Country Foods, Inc.",,South Central,201 Industrial Ave.
3.3,84660,Utah,UT,"Mountain Country Foods, Inc.",,Upper-West,195 E 1600 N
0,19103,Philadelphia,PA,My Pet Enterprises,,Mid-Atlantic,P.O. Box 15703
0.6,91502,Los Angeles,CA,"Natural Balance Pet Foods, Inc.",,Western,"100 N. First St., Ste. 200"
3.2,98108,King,WA,"Natural Pet Pantry, Inc., The",,North West,"309 S. Cloverdale St., Unit C-12"
5.2,75074,Collin,TX,Natural Polymer International Corp.,,South Central,"3601 E. Plano Pkwy., Ste. 150"
18.9,95973,Butte,CA,Nature Zone,,Western,265 Boeing Ave.
73.1,30143,Pickens,GA,Nature's Farmacy,,Southeast,166 High Knoll Rd.
8.3,68504,Lancaster,NE,Nature's Variety,,Central,6200 N. 56th St.
13.5,52802,Scott,IA,Nestle Purina PetCare Co.,,Central,607 Schmidt Rd.
6.3,73013,Oklahoma,OK,Nestle' Purina PetCare Co.,,South Central,13900 N. Lincoln Blvd.
51.1,68333,Saline,NE,Nestle' Purina PetCare Co.,,Central,2305 E. Highway 33
43.9,14048,Chautauqua,NY,Nestle' Purina PetCare Co.,,New York-New Jersey,3800 Middle Rd.
22.2,17050,Cumberland,PA,Nestle' Purina PetCare Co.,,Mid-Atlantic,6509 Brandy Ln.
N/A,63102,St. Louis City,MO,Nestle' Purina PetCare Co.,,Central,801 Chouteau Ave.
31.5,86004,Coconino,AZ,Nestle' Purina PetCare Co.,,Western,4700 E. Nestle Purina Ave.
1.1,30213,Fulton,GA,Nestle' Purina PetCare Co.,,Southeast,5001 Fayetteville Rd.
0,80216,Denver,CO,Nestle' Purina PetCare Co.,,Upper-West,4555 York St.
47,43701,Muskingum,OH,Nestle' Purina PetCare Co.,,Midwest,5 N. 2nd St.
7.9,18104,Lehigh,PA,Nestle' Purina PetCare Co.,,Mid-Atlantic,2050 Pope Rd.
33.9,50501,Webster,IA,Nestle' Purina PetCare Co.,,Central,2400 5th Ave. S.
32.2,52732,Clinton,IA,Nestle' Purina PetCare Co.,,Central,2200 Manufacturing Dr.
53.6,54014,Pierce,WI,Nestle' Purina PetCare Co.,,Midwest,N1725 805th St.
34.1,53549,Jefferson,WI,Nestle' Purina PetCare Co.,,Midwest,150 W. Riverview Dr.
N/A,63102,St. Louis City,MO,Nestle' Purina PetCare Co.,,Central,1111 Chouteau Ave.
44.7,46947,Cass,IN,"Nick-Em Builders, LLC",,Midwest,1005 W. Broadway
1,33445,Palm Beach,FL,"Nootie, LLC",,Southeast,"3333 S. Congress Ave., Ste. 401"
11.7,80537,Larimer,CO,"Nor-Sky Pet Supply, LLC",,Upper-West,"1082 Denver Ave., Unit A"
28.7,98674,Cowlitz,WA,"Northwest Pet Products, Inc.",,North West,350 N. Pekin Rd.
50.6,47359,Blackford,IN,"NRP Of Indiana, LLC",,Midwest,4 McGeath Blvd.
34.1,53551,Jefferson,WI,"Nutrition First Processing, Inc.",,Midwest,N5475 Crossman Rd.
38.5,37090,Wilson,TN,"Nutro Co., The",,Southeast,920 Arctic Dr.
19.4,37067,Williamson,TN,"Nutro Co., The",,Southeast,1550 W. McEwen Dr.
4.7,92395,San Bernardino,CA,"Nutro Products, Inc.",,Western,13243 Nutro Way
43.9,44432,Columbiana,OH,"Ohio Pet Foods, Inc.",,Midwest,38251 Industrial Park Rd.
0,10028,New York,NY,"Opus Skincare, LLC",,New York-New Jersey,1025 5th Ave.
73,68407,Cass,NE,"Oxbow Enterprises, Inc.",,Central,29012 Mill Rd.
8.9,80301,Boulder,CO,"PanTheryx, Inc.",,Upper-West,"5480 Valmont Rd., Ste. 325"
16.7,98383,Kitsap,WA,"Paws Gourmet Bakery, LLC",,North West,"9481 Silverdale Way N.W., Ste. 101"
1.6,80112,Arapahoe,CO,"Pawsitively Gourmet, LLC",,Upper-West,"82 Inverness Dr. E., Ste. E"
9.9,60033,McHenry,IL,Pedigree Ovens,,Midwest,495 Commanche Cir.
36.3,69162,Cheyenne,NE,Penn Pak III,,Central,800 Pennington Rd.
15.5,93291,Tulare,CA,"Perfection Pet Foods, LLC",,Western,1111 N. Miller Park Ct.
0.6,80020,Broomfield,CO,"Performance Foods, Inc.",,Upper-West,"575 Burbank, Ste. H"
10.9,29466,Charleston,SC,"Pet Food Ingredients, Inc.",,Southeast,2108 Bearing Ct.
30,12859,Saratoga,NY,Pet PDC,,New York-New Jersey,308 Allen Rd.
2.2,45238,Hamilton,OH,"PetCakes By Lucky Paws, LLC",,Midwest,5541 Foley Rd.
3.2,98006,King,WA,"Petforia, LLC",,North West,"4957 Lakemont Blvd. S.E., Ste. C-4-271"
15,32043,Clay,FL,"PetGuard, Inc.",,Southeast,1515 County Road 315
0.1,7663,Bergen,NJ,"PetMatrix, LLC",,New York-New Jersey,"160 Pehle Ave., Ste. 302-A"
7.9,61109,Winnebago,IL,"Phelps Industries, LLC",,Midwest,5213 26th Ave.
38.9,53042,Manitowoc,WI,"Phoebe Products, LLC",,Midwest,109 Persnickety Pl.
85.1,79520,Jones,TX,Pied Piper Mills,,South Central,423 E. Lake Dr.
0.1,2118,Suffolk,MA,"Polka Dog Designs, LLC",,New England,256 Shawmut Ave.
N/A,22903,Independent Cities,VA,Posh Pets Supply Co.,,Mid-Atlantic,1055 Millmont St.
71.7,5488,Franklin,VT,"Poulin Grain, Inc.",,New England,24 Depot St.
0,80216,Denver,CO,"Premium Pet Health, LLC",,Upper-West,1485 E. 61st Ave.
57.4,23430,Isle of Wight,VA,"Premium Pet Health, LLC",,Mid-Atlantic,501 N. Church St.
3.7,94534,Solano,CA,"Primal Pet Foods, Inc.",,Western,"535 Watt Dr., Ste. B"
2.9,19440,Montgomery,PA,Prime Packing Partners,,Mid-Atlantic,1101 Koffel Rd.
27.9,56547,Clay,MN,ProDiet Pet Foods,,Midwest,131 130th St. S.
30.6,55060,Steele,MN,"Propet, LLC",,Midwest,800 24th Ave. N.W.
39.1,45885,Auglaize,OH,"Pro-Pet, LLC",,Midwest,1601 McKinley Rd.
0.1,92688,Orange,CA,ProTab Laboratories,,Western,30321 Esperanza
44.7,46947,Cass,IN,"Protein, Inc.",,Midwest,81 E. Industrial Blvd.
0,80231,Denver,CO,"Purebred Co., Inc.",,Upper-West,8200 E. Pacific Pl.
N/A,99518,Anchorage,AK,"Purr-Ferred Pet Food, LLC",,North West,1210 E. 70th Ave.
22.5,73078,Canadian,OK,R. B. Bearinger Co.,,South Central,320 Piedmont Rd.
21.3,17502,Lancaster,PA,"R.E. Ebersole, Inc.",,Mid-Atlantic,236 Governor Stable Rd.
1.3,97202,Multnomah,OR,"Radagast Pet Food, Inc.",,North West,3617 S.E. 17th Ave.
79.2,99141,Stevens,WA,"Raw Advantage, Inc.",,North West,1156 Highway 25
0.6,90806,Los Angeles,CA,"Redbarn Pet Products, Inc.",,Western,"3229 E. Spring St., Ste. 310"
31.8,67530,Barton,KS,"RedBarn, Inc.",,Central,30 S.E. 10 Rd.
0.2,53132,Milwaukee,WI,"Redpaw, Inc.",,Midwest,9640 S. Oakwood Park Dr.
28.3,53093,Sheboygan,WI,"Rooker Pet Foods, Inc.",,Midwest,4941 Highway N
5.8,63301,St. Charles,MO,"Royal Canin USA, Inc.",,Central,"500 Fountain Lakes Blvd., Ste. 100"
61.4,57049,Union,SD,"Royal CaninÆ U. S. A., Inc.",,Upper-West,630 N. Derby Ln.
46.2,65401,Phelps,MO,"Royal CaninÆ U. S. A., Inc.",,Central,1700 Bridge School Rd.
25.1,68025,Dodge,NE,"Royal CaninÆ U. S. A., Inc.",,Central,2779 Rademakers Way
25.3,29053,Lexington,SC,"Schell & Kampeter, Inc.",,Southeast,100 Woodtrail Dr.
1.6,8110,Camden,NJ,Simmons Pet Food,,New York-New Jersey,9130 Griffith Morgan Ln.
25.2,72761,Benton,AR,"Simmons Pet Food, Inc.",,South Central,1113 E. Ashley St.
0.6,91352,Los Angeles,CA,SmokeHouse Pet Products,,Western,11850 Sheldon St.
0.6,90040,Los Angeles,CA,"Soft Gel Technologies, Inc.",,Western,6982 Bandini Blvd.
2.2,55413,Hennepin,MN,"Sojourner Farms, LLC",,Midwest,"2300 Kennedy St. N.E., Ste. 110"
1.1,63017,St. Louis,MO,"Solid Gold Pet, LLC",,Central,"15455 Conway Rd., Ste. 100"
27.2,31601,Lowndes,GA,"Southern States Co-Op, Inc.",,Southeast,407 Clay Rd.
20.6,30542,Hall,GA,"Southern States Co-Op, Inc.",,Southeast,4634 Radford Rd.
83.4,13460,Chenango,NY,"Southern Tier Pet Nutrition, LLC",,New York-New Jersey,8 W. State St.
2.8,38109,Shelby,TN,"Specialty Feed, Inc.",,Southeast,2301 Latham St.
100,54755,Buffalo,WI,"SPF North America, Inc.",,Midwest,428 S. Washington St.
39.8,29653,Greenwood,SC,"SPF North America, Inc.",,Southeast,5300 Highway 25 N.
0.2,53154,Milwaukee,WI,Stella & Chewy's,,Midwest,111 W. Oakview Pkwy.
70.4,35582,Franklin,AL,"Sunshine Mills, Inc.",,Southeast,500 6th St. S.W.
77.1,24558,Halifax,VA,"Sunshine Mills, Inc.",,Mid-Atlantic,100 Sunshine Dr.
45.4,38801,Lee,MS,"Sunshine Mills, Inc.",,Southeast,2103 S. Gloster St.
56.6,31021,Laurens,GA,"Sun-Tek Pet, LLC",,Southeast,2004 Waldrep Industrial Blvd.
12,78626,Williamson,TX,Tail Waggins Dog Bakery,,South Central,2102 N. Austin Ave.
55,16365,Warren,PA,"Targeted Pet Treats, LLC",,Mid-Atlantic,151 Struthers St.
8.6,1040,Hampden,MA,"TDB, Inc.",,New England,410 Dwight St.
46.5,75964,Nacogdoches,TX,TFP Nutrition,,South Central,915 S. Fredonia St.
3.8,64120,Jackson,MO,"Three Dog Bakery, Inc.",,Central,1843 N. Topping Ave.
7.5,85756,Pima,AZ,"Toby/O, Inc.",,Western,6781 E. Outlook Dr.
N/A,20785,Prince Georges,MD,Top Quality Dog Food,,Mid-Atlantic,3630 East St.
48.7,80807,Kit Carson,CO,Triple A Brand Meat Co.,,Upper-West,43465 Highway 24
25.5,72764,Washington,AR,Triple T Foods,,South Central,1013 N. Jefferson St.
34.9,66763,Crawford,KS,"Triple T Foods, Inc.",,Central,1601 W. McKay St.
5.5,83616,Ada,ID,"True Science Holdings, LLC",,North West,500 E. Shore Dr.
73.6,56573,Otter Tail,MN,"Tuffy's Pet Foods, Inc.",,Midwest,145 1st Ave. N.
20.6,46514,Elkhart,IN,"United Pet Foods, Inc.",,Midwest,30809 Corwin Rd.
2.2,79927,El Paso,TX,United Valley Pet Food,,South Central,400 Inglewood Dr.
82.3,17059,Juniata,PA,"Valley Proteins, Inc.",,Mid-Atlantic,Route 1
1.6,80112,Arapahoe,CO,"Variety Pet Foods, LLC",,Upper-West,"304 Inerness Way S., Ste. 245"
17.8,21017,Harford,MD,"VeRUS Pet Foods, Inc.",,Mid-Atlantic,151-C Bata Blvd.
25.2,72712,Benton,AR,"Vetritionals, Inc.",,South Central,1706 S. Walton Blvd.
10.9,93212,Kings,CA,"Virtus Nutrition, LLC",,Western,520 Industrial Ave.
13.5,50704,Black Hawk,IA,Waterloo Mills Co.,,Central,2050 Mitchell Ave.
20.5,80631,Weld,CO,"Weld County Bi-Products, Inc.",,Upper-West,1138 N. 11th Ave.
9,46544,St. Joseph,IN,"WellPet, LLC",,Midwest,1011 W 11th St.
3,1876,Middlesex,MA,"WellPet, LLC",,New England,200 Ames Pond Dr.
10.8,98272,Snohomish,WA,"Wet Noses Natural Dog Treat Co., Inc.",,North West,17731 147th St. S.E.
8.9,80301,Boulder,CO,"Whole Pets, Inc.",,Upper-West,"2835 Pearl St., Ste. B"
21.2,3110,Hillsborough,NH,"Wholistic Pet Organics, LLC",,New England,341 Route 101
20.5,80634,Weld,CO,Wild Calling Pet Foods,,Upper-West,11407 W. 24th St.
79.4,41181,Carter,KY,"Willard Milling Co., Inc.",,Southeast,10273 S. Highway 1
18.5,52241,Johnson,IA,"Woofables, LLC",,Central,"100 E. Oakdale Blvd., Ste. 400"
48.5,43064,Madison,OH,"Wright Group, The",,Midwest,8000 Memorial Dr.
44.1,68467,York,NE,York Cold Storage,,Central,402 Commerce St.
59.9,81301,La Plata,CO,"Zuke's, LLC",,Upper-West,"2257 Main Ave., P.O. Box 3210"
4.9,50309,Polk,IA,"Darling Ingredients, Inc.",,Central,"500 E. Court Ave., Ste. 400"
14.6,68803,Hall,NE,"Darling International, Inc.",,Central,5251 W. Guenther Rd.
19.9,83687,Canyon,ID,"Aim International, Inc.",,North West,3923 E. Flamingo Ave.
0.1,92677,Orange,CA,"CortiSlim International, Inc.",,Western,"28241 Crown Valley Pkwy., Ste. F-415"
4.3,34292,Sarasota,FL,Enzymedica Inc.,,Southeast,711 Commerce Dr.
20.5,80645,Weld,CO,"Ewing Co., John",,Upper-West,401 N. 1st St.
